section name,section type,size
.text.fclose,text,18
.text.__sflush_r,text,284
.text._fflush_r,text,74
.text.fflush,text,44
.text.std,text,80
.text._cleanup_r,text,12
.text.__sfmoreglue,text,44
.text.__sfp_lock_acquire,text,12
.text.__sfp_lock_release,text,12
.text.__sinit_lock_acquire,text,12
.text.__sinit_lock_release,text,12
.text.__sinit,text,80
.text.__sfp,text,140
.text.__sflags,text,108
.text._fopen_r,text,168
.text.fopen,text,22
.text._fputc_r,text,70
.text.fputc,text,22
.text.__fputwc,text,130
.text._fputwc_r,text,82
.text._fread_r,text,212
.text.fread,text,30
.text._fseek_r,text,4
.text.fseek,text,26
.text._fseeko_r,text,664
.text.ftell,text,18
.text._ftello_r,text,192
.text.__sfvwrite_r,text,660
.text._fwalk,text,60
.text._fwalk_reent,text,64
.text._fwrite_r,text,156
.text.fwrite,text,30
.text.rshift,text,166
.text.__hexdig_fun,text,42
.text.__gethex,text,1108
.text.L_shift,text,36
.text.__match,text,40
.text.__hexnan,text,312
.text.getenv,text,20
.text._findenv_r,text,116
.text._getenv_r,text,14
.text.__getreent,text,12
.text.__gettzinfo,text,8
.text.gmtime,text,22
.text.gmtime_r,text,412
.rodata._global_impure_ptr,rodata,4
.text.iswspace,text,6
.text.iswspace_l,text,20
.rodata.str1.1,rodata,60718
.rodata._C_numeric_locale,rodata,12
.rodata._setlocale_r.str1.1,rodata,6
.text.__locale_mb_cur_max,text,12
.text._localeconv_r,text,8
.text.__retarget_lock_init_recursive,text,2
.text.__retarget_lock_close_recursive,text,2
.text.__retarget_lock_acquire,text,2
.text.__retarget_lock_acquire_recursive,text,2
.text.__retarget_lock_release,text,2
.text.__retarget_lock_release_recursive,text,2
.text.__swhatbuf_r,text,86
.text.__smakebuf_r,text,124
.rodata._mbrtowc_r.str1.1,rodata,1
.text._mbrtowc_r,text,52
.text.__ascii_mbtowc,text,36
.text.memcmp,text,92
.text.memcpy,text,200
.text.memmove,text,212
.text.memset,text,168
.text.validate_structure,text,412
.text.mktime,text,800
.rodata.DAYS_IN_MONTH,rodata,48
.rodata._DAYS_BEFORE_MONTH,rodata,48
.rodata.__month_lengths,rodata,96
.text._Balloc,text,72
.text._Bfree,text,18
.text.__multadd,text,124
.text.__s2b,text,136
.text.__hi0bits,text,64
.text.__lo0bits,text,92
.text.__i2b,text,18
.text.__multiply,text,310
.text.__pow5mult,text,128
.text.__lshift,text,190
.text.__mcmp,text,54
.text.__mdiff,text,236
.text.__ulp,text,88
.text.__b2d,text,160
.text.__d2b,text,164
.text.__ratio,text,100
.text.__copybits,text,70
.text.__any_on,text,66
.rodata.__mprec_bigtens,rodata,40
.rodata.__mprec_tens,rodata,200
.rodata.p05.7384,rodata,12
.text.printf,text,36
.text._putc_r,text,104
.text.swapfunc,text,50
.text.med3.isra.0,text,64
.text.qsort,text,694
.text.srand,text,20
.text.rand,text,56
.text.cleanup_glue,text,22
.text._reclaim_reent,text,124
.text.lflush,text,18
.text.__srefill_r,text,260
.text.frexp,text,112
.text.nan,text,16
.text.__sccl,text,116
.text.nanf,text,12
.text.siscanf,text,80
.text.snprintf,text,102
.text.sprintf,text,64
.text.sscanf,text,80
.text.__sread,text,38
.text.__seofread,text,4
.text.__swrite,text,50
.text.__sseek,text,40
.text.__sclose,text,8
.text.strcasecmp,text,68
.text.strcat,text,64
.text.strchr,text,208
.text.strcpy,text,196
.text.strcspn,text,48
.text.strdup,text,20
.text._strdup_r,text,36
.rodata._strerror_r.str1.4,rodata,1792
.text._strerror_r,text,1132
.text.strerror,text,24
.text.strncasecmp,text,84
.text.strncat,text,92
.text.strncmp,text,132
.text.strncpy,text,116
.text.strndup,text,24
.text._strndup_r,text,64
.text.strnlen,text,44
.text.strpbrk,text,56
.text.strrchr,text,36
.text.strspn,text,48
.text.two_way_long_needle,text,692
.text.strstr,text,400
.text.sulp,text,52
.rodata._strtod_l.str1.1,rodata,49
.text._strtod_l,text,2956
.text._strtod_r,text,12
.rodata.fpi.7544,rodata,20
.rodata.fpinan.7580,rodata,20
.rodata.tinytens,rodata,40
.text.strtok,text,28
.text.__strtok_r,text,112
.text._strtol_l.isra.0,text,236
.text._strtol_r,text,4
.text.strtol,text,26
.text._strtoll_l.isra.0,text,300
.text._strtoll_r,text,4
.text.strtoll,text,26
.text._strtoul_l.isra.0,text,244
.text._strtoul_r,text,4
.text.strtoul,text,26
.text._strtoull_l.isra.0,text,308
.text._strtoull_r,text,4
.text.strtoull,text,26
.text.__ssprint_r,text,234
.text._sungetc_r,text,122
.text.__ssrefill_r,text,58
.text._sfread_r,text,122
.text.__ssvfiscanf_r,text,3856
.rodata.basefix.8182,rodata,34
.rodata._svfprintf_r.str1.1,rodata,46
.text._svfprintf_r,text,4884
.rodata.blanks.8611,rodata,16
.rodata.zeroes.8612,rodata,16
.rodata.__ssvfscanf_r.str1.1,rodata,5
.text.__ssvfscanf_r,text,4796
.rodata.basefix.8680,rodata,34
.text.time,text,38
.text.__tzcalc_limits,text,340
.text.__tz_lock,text,12
.text.__tz_unlock,text,12
.text._tzset_unlocked,text,14
.rodata._tzset_unlocked_r.str1.1,rodata,56
.text._tzset_unlocked_r,text,772
.text._user_strerror,text,4
.text.__submore,text,112
.text.__sprint_r,text,104
.rodata._vfprintf_r.str1.1,rodata,59
.text._vfprintf_r,text,5072
.text.__sbprintf,text,128
.rodata.blanks.8626,rodata,16
.rodata.zeroes.8627,rodata,16
.text._vsnprintf_r,text,88
.text.vsnprintf,text,30
.text._vsscanf_r,text,72
.text.vsscanf,text,26
.text.__swbuf_r,text,146
.text._wcrtomb_r,text,44
.text.__ascii_wctomb,text,26
.text.__swsetup_r,text,170
.text.__xpg_strerror_r,text,96
.text.AudEventCb,text,36
.text.ql_player_lock,text,12
.text.ql_record_lock,text,12
.text.ql_player_unlock,text,12
.text.ql_record_unlock,text,12
.text.AudPlayEventCb,text,40
.text.AudPipePlayerPipeWrite,text,60
.text.ql_aud_tone_process,text,448
.text.PipeReadCallback,text,60
.text.ql_get_icvolume_gain,text,336
.text.quec_CSW_WriteCalibParamToFlash,text,34
.text.ql_get_calibtool_aud_path,text,22
.text.recorder_deinit,text,116
.text.player_deinit,text,124
.text.set_play_event_callback.constprop.13,text,64
.text.set_recorder_event_callback.constprop.14,text,64
.text.IsAudioInCallMode,text,28
.text.ql_set_record_packet_size,text,28
.text.ql_aud_set_nvm,text,272
.text.ql_aud_get_nvm,text,124
.text.ql_aud_nvm_init,text,112
.text.ql_aud_set_pa_type,text,72
.text.ql_aud_get_pa_type,text,32
.text.ql_audio_stop_ring_handler,text,76
.text.ql_audio_start_ring_handler,text,88
.text.ql_audio_notify_handler,text,24
.text.ql_ext_pa_ctrl,text,96
.text.ql_volume_to_unisoc_vol,text,128
.text.uinsoc_volume_to_ql_vol,text,164
.text.ql_aud_set_volume,text,84
.text.ql_aud_get_volume,text,46
.text.ql_aud_set_headset_depop,text,36
.text.ql_aud_set_output_type,text,20
.text.ql_aud_set_input_type,text,20
.text.ql_aud_get_output_type,text,4
.text.ql_aud_get_input_type,text,4
.text.ql_get_file_format,text,56
.text.ql_get_audio_state,text,12
.text.quec_DtmfCharToTone,text,82
.text.ql_set_tone_gain,text,84
.text.ql_aud_player_pause,text,80
.text.ql_aud_player_resume,text,80
.text.ql_aud_player_stop,text,88
.text.ql_aud_get_play_state,text,20
.text.record_is_allowed,text,148
.text.ql_aud_get_playing_func,text,12
.text.ql_aud_wait_play_finish,text,68
.text.ql_aud_dtmf_play,text,140
.text.ql_aud_tone_play,text,80
.text.ql_aud_tone_detect_set_cb,text,20
.text.ql_aud_tone_detect,text,22
.text.ql_aud_tone_stop,text,144
.text.ql_set_record_samplerate,text,20
.text.ql_aud_get_record_state,text,20
.text.playback_is_allowed,text,168
.text.ql_aud_play_file_start,text,496
.text.ql_aud_play_file_start_ex,text,672
.text.ql_aud_play_stream_start,text,596
.text.aud_play_tone_config,text,356
.text.ql_aud_dtmf_tone_init,text,6
.text.ql_aud_get_recording_func,text,12
.text.ql_aud_recorder_pause,text,80
.text.ql_aud_recorder_resume,text,80
.text.ql_aud_record_stop,text,168
.text.RecordEventCallback,text,104
.text.ql_aud_record_file_start,text,516
.text.ql_aud_record_stream_start_ex,text,428
.text.ql_aud_start_poc_mode,text,64
.text.ql_aud_stop_poc_mode,text,20
.text.ql_aud_poc_switch,text,60
.text.ql_aud_record_stream_start,text,8
.text.ql_aud_pcm_open,text,736
.text.ql_pcm_buffer_reset,text,156
.text.ql_pcm_buffer_used,text,92
.text.ql_aud_data_done,text,60
.text.audio_process_task,text,576
.text.ql_pcm_read,text,132
.text.ql_pcm_close,text,208
.text.AudCallOnEventCB,text,184
.text.AudLocalOnEventCB,text,136
.text.ql_pcm_write,text,336
.text.ql_audio_init,text,328
.text.ql_set_audio_path_speaker,text,72
.text.ql_set_audio_path_earphone,text,80
.text.ql_set_audio_path_receiver,text,72
.text.ql_set_volume,text,52
.text.ql_get_volume,text,6
.text.ql_play_file_start,text,44
.text.ql_play_file_stop,text,4
.text.ql_play_mp3_stream_start,text,24
.text.ql_amr_stream_write,text,24
.text.ql_amr_stream_close,text,4
.text.ql_amr_file_start,text,40
.text.ql_amr_file_pause,text,10
.text.ql_amr_file_end,text,4
.text.ql_pcm_open,text,10
.text.ql_aud_loop_back_start,text,48
.text.ql_aud_loop_back_stop,text,20
.text.ql_aud_enable_pop_delay,text,8
.text.ql_bind_ring_tone_cb,text,52
.text.ql_aud_set_ringtone_type,text,48
.text.ql_aud_get_ringtone_type,text,30
.text.ql_bind_speakerpa_cb,text,12
.text.ql_bind_receiverpa_cb,text,12
.text.ql_aud_set_calib_real_time,text,88
.text.ql_aud_get_calib_real_time,text,36
.text.ql_set_icvolume_gain,text,560
.text.ql_aud_set_icmic_gain,text,296
.text.ql_aud_get_icmic_gain,text,132
.text.ql_aud_set_icsidet_gain,text,284
.text.ql_aud_get_icsidet_gain,text,124
.text.ql_aud_set_icvolume_level_gain,text,352
.text.ql_aud_get_icvolume_level_gain,text,252
.text.ql_aud_set_record_gain,text,96
.text.ql_aud_get_record_gain,text,120
.text.ql_aud_resampler_create,text,48
.text.ql_aud_resampler_run,text,24
.text.ql_aud_resampler_destroy,text,20
.text.ql_headset_cb_register,text,76
.text.ql_headset_plug_status_get,text,52
.text.ql_aud_quality_common,text,412
.text.ql_aud_set_quality,text,52
.text.ql_aud_get_quality,text,104
.rodata.AudCallOnEventCB.str1.1,rodata,46
.rodata.AudLocalOnEventCB.str1.1,rodata,48
.rodata.AudPipePlayerPipeWrite.str1.1,rodata,35
.rodata.RecordEventCallback.str1.1,rodata,46
.rodata.aud_play_tone_config.str1.1,rodata,114
.rodata.audio_process_task.str1.1,rodata,171
.rodata.playback_is_allowed.str1.1,rodata,33
.rodata.player_deinit.str1.1,rodata,23
.rodata.ql_aud_data_done.str1.1,rodata,15
.rodata.ql_aud_dtmf_play.str1.1,rodata,46
.rodata.ql_aud_get_icvolume_level_gain.str1.1,rodata,29
.rodata.ql_aud_get_record_gain.str1.1,rodata,17
.rodata.ql_aud_nvm_init.str1.1,rodata,43
.rodata.ql_aud_pcm_open.str1.1,rodata,77
.rodata.ql_aud_play_file_start.str1.1,rodata,238
.rodata.ql_aud_play_file_start_ex.str1.1,rodata,236
.rodata.ql_aud_play_stream_start.str1.1,rodata,51
.rodata.ql_aud_player_pause.str1.1,rodata,26
.rodata.ql_aud_quality_common.str1.1,rodata,78
.rodata.ql_aud_record_file_start.str1.1,rodata,160
.rodata.ql_aud_record_stop.str1.1,rodata,26
.rodata.ql_aud_recorder_pause.str1.1,rodata,28
.rodata.ql_aud_set_calib_real_time.str1.1,rodata,23
.rodata.ql_aud_set_icmic_gain.str1.1,rodata,60
.rodata.ql_aud_set_nvm.str1.1,rodata,143
.rodata.ql_aud_tone_play.str1.1,rodata,19
.rodata.ql_aud_tone_process.str1.1,rodata,127
.rodata.ql_aud_tone_stop.str1.1,rodata,39
.rodata.ql_audio_init.str1.1,rodata,49
.rodata.ql_get_file_format.str1.1,rodata,24
.rodata.ql_get_icvolume_gain.str1.1,rodata,23
.rodata.ql_pcm_buffer_reset.str1.1,rodata,44
.rodata.ql_pcm_close.str1.1,rodata,70
.rodata.ql_pcm_write.str1.1,rodata,15
.rodata.ql_set_audio_path_earphone.str1.1,rodata,44
.rodata.ql_set_audio_path_receiver.str1.1,rodata,24
.rodata.ql_set_audio_path_speaker.str1.1,rodata,47
.rodata.ql_set_icvolume_gain.str1.1,rodata,42
.rodata.ql_set_tone_gain.str1.1,rodata,15
.rodata.ql_set_volume.str1.1,rodata,21
.rodata.ql_volume_to_unisoc_vol.str1.1,rodata,20
.rodata.record_is_allowed.str1.1,rodata,102
.rodata.recorder_deinit.str1.1,rodata,23
.text.ql_psm_get_timer_ex_rsp,text,132
.text.ql_psm_get_timer_rsp,text,108
.text._ql_powd_nw_deregister,text,96
.text._ql_powd_nw_deregisterCB,text,100
.text.quec_shutdown_mode,text,272
.text.quec_power_shutdown,text,156
.text.quec_shutdown_task,text,192
.text.ql_power_down,text,72
.text.ql_power_reset,text,100
.text.ql_get_powerup_reason,text,120
.text.ql_get_boot_cause,text,80
.text.ql_get_pwrkey_status,text,36
.text.ql_pwrkey_callback_register,text,24
.text.ql_pwrkey_longpress_cb_register,text,44
.text.ql_pwrkey_press_cb_register,text,24
.text.ql_pwrkey_release_cb_register,text,24
.text.ql_pwrkey_shutdown_time_set,text,24
.text.ql_lpm_wakelock_create,text,244
.text.ql_lpm_wakelock_delete,text,148
.text.ql_lpm_wakelock_lock,text,80
.text.ql_lpm_wakelock_unlock,text,80
.text.ql_autosleep_enable,text,20
.text.ql_autosleepex_enable,text,168
.text.ql_psm_timer_5mins_check,text,276
.text.ql_psm_sleep_enable,text,524
.text.ql_psm_register_enter_cb,text,32
.text.ql_psm_get_timer_ex,text,136
.text.ql_psm_get_timer,text,148
.text.ql_sleep_register_cb,text,24
.text.ql_wakeup_register_cb,text,24
.text.ql_get_wakeup_source,text,12
.text.ql_get_vchg_vol,text,24
.text.ql_get_vbus_state,text,24
.text.ql_get_battery_vol,text,24
.text.ql_get_battery_level,text,24
.text.ql_get_charge_cur,text,24
.text.ql_get_charge_status,text,72
.text.ql_charge_set_config,text,76
.text.ql_charge_get_config,text,36
.text.ql_charge_set_over_temp,text,10
.text.quec_set_sleep_delay_time,text,96
.text.quec_get_sleep_delay_time,text,104
.text.ql_switch_power_domain,text,48
.rodata,rodata,10431
.rodata._ql_powd_nw_deregister.str1.1,rodata,23
.rodata._ql_powd_nw_deregisterCB.str1.1,rodata,21
.rodata.domain_map,rodata,40
.rodata.ql_autosleepex_enable.str1.1,rodata,20
.rodata.ql_get_charge_status.str1.1,rodata,21
.rodata.ql_lpm_wakelock_create.str1.1,rodata,109
.rodata.ql_lpm_wakelock_delete.str1.1,rodata,20
.rodata.ql_lpm_wakelock_lock.str1.1,rodata,16
.rodata.ql_lpm_wakelock_unlock.str1.1,rodata,18
.rodata.ql_power_down.str1.1,rodata,19
.rodata.ql_power_reset.str1.1,rodata,15
.rodata.ql_psm_get_timer_ex_rsp.str1.1,rodata,32
.rodata.ql_psm_sleep_enable.str1.1,rodata,154
.rodata.ql_psm_timer_5mins_check.str1.1,rodata,49
.rodata.quec_power_shutdown.str1.1,rodata,46
.rodata.quec_shutdown_mode.str1.1,rodata,91
.rodata.quec_shutdown_task.str1.1,rodata,33
.text.ql_gnss_switch,text,336
.text.ql_auto_gnss_cfg,text,124
.text.ql_gnss_agps_cfg,text,124
.text.ql_gnss_agps_param_cfg_ex,text,532
.text.ql_gnss_callback_register,text,24
.text.ql_gnss_sys_type_cfg,text,156
.text.ql_gnss_get_cfg,text,88
.text.ql_gnss_agps_get_cfg,text,160
.text.ql_gnss_agps_param_cfg,text,130
.text.ql_gnss_nmea_get,text,140
.text.ql_gnss_state_info_get,text,12
.rodata.ql_auto_gnss_cfg.str1.1,rodata,59
.rodata.ql_gnss_agps_cfg.str1.1,rodata,41
.rodata.ql_gnss_agps_param_cfg_ex.str1.1,rodata,158
.rodata.ql_gnss_get_cfg.str1.1,rodata,17
.rodata.ql_gnss_nmea_get.str1.1,rodata,62
.rodata.ql_gnss_switch.str1.1,rodata,157
.rodata.ql_gnss_sys_type_cfg.str1.1,rodata,72
.text.quec_modem_attach_notification,text,96
.text.quec_get_NAT_wan_NetIf,text,96
.text.quec_getAvailableNetIfBySIMCID,text,88
.text.quec_check_netif_exist_or_available,text,236
.text._getPeerIpv6Prefix,text,536
.rodata._getPeerIpv6Prefix.str1.1,rodata,214
.rodata.quec_check_netif_exist_or_available.str1.1,rodata,63
.rodata.quec_get_NAT_wan_NetIf.str1.1,rodata,20
.rodata.quec_modem_attach_notification.str1.1,rodata,26
.text.ql_adc_get_channel_map,text,48
.text.ql_adc_get_volt,text,388
.text.ql_adc_get_volt_raw,text,64
.rodata.ql_adc_get_volt.str1.1,rodata,45
.text.ql_ble_get_version,text,96
.text.ql_ble_get_public_addr,text,164
.text.ql_ble_set_public_addr,text,18
.text.ql_ble_get_random_addr,text,132
.text.ql_ble_add_public_whitelist,text,200
.text.ql_ble_add_random_whitelist,text,192
.text.ql_ble_get_whitelist_num,text,32
.text.ql_ble_inf_get_whitelist_info,text,32
.text.ql_ble_get_whitelist_info,text,320
.text.ql_ble_remove_whitelist,text,244
.text.ql_ble_clean_whitelist,text,172
.text.ql_ble_conncet_public_addr,text,204
.text.ql_ble_conncet_random_addr,text,204
.text.ql_ble_cancel_connect,text,176
.text.ql_ble_disconnect,text,216
.text.ql_ble_get_connection_state,text,172
.text.ql_ble_update_conn_param,text,532
.text.ql_ble_exchange_mtu,text,300
.text.ql_bleadv_set_typical_addr_param,text,700
.text.ql_bleadv_get_typical_addr_param,text,28
.text.ql_bleadv_set_param,text,656
.text.ql_bleadv_get_param,text,20
.text.ql_bleadv_set_data,text,300
.text.ql_bleadv_set_scan_rsp_data,text,300
.text.ql_ble_set_ibeacon_data,text,200
.text.ql_ble_write_ibeacon_cfg,text,72
.text.ql_ble_read_ibeacon_cfg,text,132
.text.ql_bleadv_start,text,164
.text.ql_bleadv_stop,text,192
.text.ql_bleadv_get_state,text,16
.text.ql_blescan_set_param,text,424
.text.ql_blescan_get_param,text,20
.text.ql_blescan_start,text,184
.text.ql_blescan_stop,text,196
.text.ql_blescan_get_state,text,16
.text.quec_ble_scan_is_stop,text,16
.rodata.ql_ble_conncet_public_addr.str1.1,rodata,24
.rodata.ql_ble_disconnect.str1.1,rodata,23
.rodata.ql_ble_exchange_mtu.str1.1,rodata,17
.rodata.ql_ble_get_connection_state.str1.1,rodata,46
.rodata.ql_ble_get_public_addr.str1.1,rodata,58
.rodata.ql_ble_get_version.str1.1,rodata,31
.rodata.ql_ble_get_whitelist_info.str1.1,rodata,91
.rodata.ql_ble_get_whitelist_num.str1.1,rodata,5
.rodata.ql_ble_read_ibeacon_cfg.str1.1,rodata,30
.rodata.ql_ble_update_conn_param.str1.1,rodata,169
.rodata.ql_ble_write_ibeacon_cfg.str1.1,rodata,21
.rodata.ql_bleadv_set_data.str1.1,rodata,73
.rodata.ql_bleadv_set_param.str1.1,rodata,81
.rodata.ql_bleadv_set_scan_rsp_data.str1.1,rodata,51
.rodata.ql_bleadv_set_typical_addr_param.str1.1,rodata,324
.rodata.ql_blescan_set_param.str1.1,rodata,115
.text.ql_ble_gatt_client_msg_cb,text,4
.text.ql_ble_gatt_client_smp_pair_success_cb,text,28
.text.ql_ble_gatt_client_smp_pair_failed_cb,text,28
.text.ql_ble_gatt_client_scan_timeout_cb,text,28
.text.ql_ble_gatt_client_start,text,56
.text.ql_ble_gatt_client_send_event,text,56
.text.ql_ble_gatt_client_connection_cb,text,340
.text.ql_ble_gatt_client_discover_service_by_uuid_cb,text,104
.text.ql_ble_gatt_client_discover_service_all_cb,text,232
.text.ql_ble_gatt_client_char_des_data_cb,text,172
.text.ql_ble_gatt_client_char_data_cb,text,228
.text.ql_ble_gatt_client_read_cb,text,296
.text.ql_ble_gatt_client_read_blob_cb,text,296
.text.ql_ble_gatt_client_read_multi_cb,text,176
.text.ql_ble_gatt_client_recv_notification_cb,text,180
.text.ql_ble_gatt_client_recv_indication_cb,text,212
.text.ql_ble_gatt_client_demo_write_cb,text,84
.text.ql_ble_gatt_client_write_rsp_cb,text,84
.text.ql_ble_gatt_client_att_error_cb,text,84
.text.ql_ble_gatt_conn_param_update_cb,text,248
.text.ql_ble_gatt_mtu_exchange_result_cb,text,296
.text.ql_ble_gatt_check_scan_device,text,268
.text.ql_ble_gatt_client_scan_cb,text,560
.text.ql_ble_gatt_client_get_conn_info,text,16
.text.ql_ble_gatt_client_pthread_init,text,56
.text.ql_ble_gatt_client_cb_init,text,144
.text.ql_ble_gatt_client_init,text,172
.text.ql_ble_gatt_client_cb_release,text,44
.text.ql_ble_gatt_client_release,text,26
.text.ql_ble_client_clear_scan_device,text,36
.text.ql_blt_gatt_client_event_handler,text,264
.text.ql_ble_gatt_discover_all_service,text,224
.text.ql_ble_gatt_discover_by_uuid,text,284
.text.ql_ble_gatt_discover_all_includes,text,228
.text.ql_ble_gatt_discover_all_characteristic,text,260
.text.ql_ble_gatt_discover_chara_desc,text,232
.text.ql_ble_gatt_read_chara_value_by_uuid,text,272
.text.ql_ble_gatt_read_chara_value_by_handle,text,244
.text.ql_ble_gatt_read_mul_chara_value,text,232
.text.ql_ble_gatt_read_chara_desc,text,232
.text.ql_ble_gatt_write_chara_desc,text,268
.text.ql_ble_gatt_write_chara_value,text,256
.text.ql_ble_gatt_write_chara_value_no_rsp,text,244
.rodata.ql_ble_gatt_check_scan_device.str1.1,rodata,57
.rodata.ql_ble_gatt_client_att_error_cb.str1.1,rodata,32
.rodata.ql_ble_gatt_client_cb_init.str1.1,rodata,14
.rodata.ql_ble_gatt_client_char_data_cb.str1.1,rodata,47
.rodata.ql_ble_gatt_client_char_des_data_cb.str1.1,rodata,15
.rodata.ql_ble_gatt_client_connection_cb.str1.1,rodata,79
.rodata.ql_ble_gatt_client_demo_write_cb.str1.1,rodata,15
.rodata.ql_ble_gatt_client_discover_service_all_cb.str1.1,rodata,149
.rodata.ql_ble_gatt_client_discover_service_by_uuid_cb.str1.1,rodata,17
.rodata.ql_ble_gatt_client_init.str1.1,rodata,22
.rodata.ql_ble_gatt_client_pthread_init.str1.1,rodata,19
.rodata.ql_ble_gatt_client_read_blob_cb.str1.1,rodata,19
.rodata.ql_ble_gatt_client_read_cb.str1.1,rodata,75
.rodata.ql_ble_gatt_client_read_multi_cb.str1.1,rodata,20
.rodata.ql_ble_gatt_client_recv_indication_cb.str1.1,rodata,18
.rodata.ql_ble_gatt_client_recv_notification_cb.str1.1,rodata,15
.rodata.ql_ble_gatt_client_scan_cb.str1.1,rodata,50
.rodata.ql_ble_gatt_client_scan_timeout_cb.str1.1,rodata,14
.rodata.ql_ble_gatt_client_send_event.str1.1,rodata,22
.rodata.ql_ble_gatt_client_smp_pair_failed_cb.str1.1,rodata,20
.rodata.ql_ble_gatt_client_smp_pair_success_cb.str1.1,rodata,20
.rodata.ql_ble_gatt_client_start.str1.1,rodata,19
.rodata.ql_ble_gatt_client_write_rsp_cb.str1.1,rodata,19
.rodata.ql_ble_gatt_conn_param_update_cb.str1.1,rodata,32
.rodata.ql_ble_gatt_discover_all_characteristic.str1.1,rodata,20
.rodata.ql_ble_gatt_discover_all_service.str1.1,rodata,26
.rodata.ql_ble_gatt_mtu_exchange_result_cb.str1.1,rodata,78
.rodata.ql_blt_gatt_client_event_handler.str1.1,rodata,28
.text.ql_ble_gatt_adv_sucess_cb,text,32
.text.ql_ble_gatt_adv_failed_cb,text,32
.text.ql_ble_gatt_smp_pair_success_cb,text,28
.text.ql_ble_gatt_smp_pair_failed_cb,text,28
.text.ql_ble_gatt_packets_complete_cb,text,28
.text.ql_ble_gatt_read_write_list_cb,text,32
.text.ql_ble_gatt_server_send_event,text,56
.text.ql_ble_gatt_connection_cb,text,280
.text.ql_ble_gatt_notification_send_cb,text,88
.text.ql_ble_gatt_cb,text,272
.text.ql_ble_gatt_read_cb,text,296
.text.quec_ble_init_gatt_chara_info_list,text,12
.text.quec_ble_add_gatt_info,text,108
.text.quec_ble_get_gatt_chara_info,text,36
.text.quec_ble_delete_gatt_chara_info_list,text,36
.text.quec_bt_ble_init_connect_info_list,text,12
.text.quec_bt_ble_add_connect_info,text,272
.text.quec_bt_ble_get_connected_info_form_connid,text,40
.text.quec_bt_ble_delete_connect_info_list,text,48
.text.quec_bt_ble_get_connect_info_max_cid,text,32
.text.quec_bt_ble_add_connect_info_list,text,212
.text.quec_bt_ble_change_connect_info_list,text,168
.text.ql_ble_gatt_server_get_conn_info,text,16
.text.ql_ble_gatt_init_server_data,text,124
.text.ql_ble_gatt_release_server_data,text,88
.text.ql_ble_gatt_server_init,text,172
.text.ql_blt_gatt_server_event_handler,text,168
.text.ql_ble_clean_service,text,104
.text.ql_ble_send_notification_data,text,408
.text.ql_ble_send_indication_data,text,432
.text.ql_ble_check_gatt_servie_by_serverid,text,116
